species,common_name,category,thousand_tons_2020,actual_number?,agg_trophic,feed_eff_trophic,growth_rate_K,max_size_cm,abs_fecundity,rep_freq_year,temp_range_c,pO2_min_mbar,sal_range,Ca_mg_100g,Fe_mg_100g,Se_ug_100g,Zn_mg_100g,A_ug_100g,Omega_g_100g,Protein_g_100g,c_seq,OA_buff,bioremed,structure,spatial,P_range_µmol/kg,N_range_µmol/kg,lat_range_degrees,geog_range_km2,PH_sensitivity_taxa
Salmo salar,Atlantic salmon,finfish_marine,2719.6,actual,4.5,4.5,0.44,150,26000,1,13.194,107.2882101,28.361,11.3,0.379,18.6,0.254,11.9,1.2,18.5,1,1,1,1,40,1.9815,12.8705,196.5,9843237.76,1
Micropterus salmoides,Largemouth black bass,finfish_inland,621.3,actual,3.8,3.8,0.29,97,109314,2,17.0045,179.5107036,3.45,37.3,0.919,28.9,0.852,19.5,0.481,19.3,1,1,1,1,24,1.322,18.122,82.587825,15000000,1
Epinephelus coioides,Orange-spotted grouper,finfish_marine,226.2,proxy for Epinephelus spp.,4,4,0.17,120,463940,2,6.6485,183.3303289,2.9905,11.8,0.412,21.3,0.779,64.6,0.187,19.7,1,1,1,1,12,1.016,24.0795,359.5,15658926.89,1
Mugil cephalus,Flathead grey mullet,finfish_marine,291.2,proxy for Mugilidae,2.5,2.5,0.3,100,7000000,2,10.419,179.5107,2.6505,102,1.92,68.3,1.55,7.56,0.462,19.6,1,1,1,1,56,0.94,24.219,358.5,17167984.4,1
Lates calcarifer,Barramundi or Giant seaperch,finfish_marine,105.8,actual,3.8,3.8,0.13,200,47700000,2,2.354,183.3303289,0.7725,115,1,144,0.84,7.36,0.187,19.6,1,1,1,1,112,0,0,359,7624326.87,1
Lateolabrax japonicus,Japanese seabass,finfish_marine,196.9,actual,3.1,3.1,0.18,102,17822576,2,18.9485,186.8665359,1.693,16.5,0.471,24.4,0.756,24.7,0.212,20.1,1,1,1,1,0,0.804,24.0795,359.5,5268051.13,1
Carassius carassius,Crucian carp,finfish_inland,2748.6,proxy for Carassius spp.,3.1,3.1,0.3,64,300000,2,17.025,107.2882101,28.472,62.5,0.784,10.7,0.557,17.6,0.677,18,1,1,1,1,40,2.1845,13.5965,103.5926894,7000000,1
Cyprinus carpio,Common carp,finfish_inland,4236.3,actual,3.1,3.1,0.33,120,10000000,4,16.7465,107.2882101,5.4095,37.3,0.673,3.18,0.869,11.3,0.368,18,1,1,1,1,1,1.4995,24.219,124.2043,15000000,1
Penaeus monodon,Giant tiger prawn,crustacean,717.1,actual,3.36,3.36,1.7,33.6,1072174,2,6.823,183.3303289,2.484,37.43333333,2.63,31.055,1.846666667,,0.16,17.20642857,2,2,2,2,0,1.016,24.219,106,6976726.16,2
Sciaenops ocellatus,Red drum,finfish_marine,84.3,actual,4,4,0.46,155,3500000,,4.5985,179.5107036,0.593,45.3,0.905,38.8,0.566,4.2,0.262,21.4,1,1,1,1,40,0,11.6905,221,611392.1,1
